url_HO,mst_HO,nganh_nghe_HO,ten_chi_nhanh,mst_chi_nhanh,CEO_chi_nhanh,Dia_chi_chi_nhanh
https://masothue.com/5700101210-cong-ty-tnhh-san-xuat-bot-my-vimaflour,5700101210,Xay xát và sản xuất bột,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH SẢN XUẤT BỘT MỲ VIMAFLOUR TẠI ĐÀ NẴNG,5700101210-001,TRƯƠNG BÁ ANH,"Số nhà 644 Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam"
https://masothue.com/5700101210-cong-ty-tnhh-san-xuat-bot-my-vimaflour,5700101210,Xay xát và sản xuất bột,CHI NHÁNH CTY LIÊN DOANH SẢN XUẤT BỘT MÌ VIMAFLOUR,5700101210-002,Lew Tong Liang,28 Phùng Khắc Khoan P.Đakao - - Quận 1 - TP Hồ Chí Minh.
https://masothue.com/5700101210-cong-ty-tnhh-san-xuat-bot-my-vimaflour,5700101210,Xay xát và sản xuất bột,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT BỘT MỲ VIMAFLOUR TẠI HÀ NỘI,5700101210-003,HUỲNH ĐỨC CHÍNH,"Tầng 17, Tòa nhà 319 Tower, 63 Lê Văn Lương, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
https://masothue.com/5700101210-cong-ty-tnhh-san-xuat-bot-my-vimaflour,5700101210,Xay xát và sản xuất bột,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT BỘT MỲ VIMAFLOUR TẠI THÀNH PHỐ ĐÀ NẴNG,5700101210-004,TRƯƠNG BÁ ANH,"644 Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam"
https://masothue.com/0311158663-cong-ty-tnhh-mot-thanh-vien-truyen-thong-da-phuong-tien-vtc-thanh-pho-ho-chi-minh,0311158663,Dịch vụ thông tin khác chưa được phân vào đâu,,,,
https://masothue.com/0103811666-cong-ty-tnhh-mot-thanh-vien-quan-ly-no-va-khai-thac-tai-san-ngan-hang-thuong-mai-co-phan-sai-gon-ha-noi,0103811666,Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu,VĂN PHÒNG ĐẠI DIỆN PHÍA NAM-CÔNG TY TNHH MỘT THÀNH VIÊN QUẢN LÝ NỢ VÀ KHAI THÁC TÀI SẢN - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,0103811666-001,VÕ XUÂN VINH,"Lô H3 Đường Hoàng Diệu, Phường 06, Quận 4, Thành phố Hồ Chí Minh, Việt Nam"
https://masothue.com/0107779290-cong-ty-tai-chinh-trach-nhiem-huu-han-mot-thanh-vien-ngan-hang-thuong-mai-co-phan-sai-gon-ha-noi,0107779290,Hoạt động trung gian tiền tệ khác,,,,
https://masothue.com/0304767745-cong-ty-tnhh-quan-ly-no-va-khai-thac-tai-san-ngan-hang-quoc-dan,0304767745,Hoạt động trung gian tiền tệ khác,,,,
https://masothue.com/4201763383-cong-ty-tnhh-thuong-mai-dich-vu-vien-thong-minh-vi,4201763383,"Bán buôn thiết bị và linh kiện điện tử, viễn thông",CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỄN THÔNG MINH VI,4201763383-001,TRẦN HUỲNH THANH TRÀ,"số 8 lô A4 Thùy Vân , Phường 8, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam"
https://masothue.com/0801354868-cong-ty-tnhh-t-t-land-hai-duong,0801354868,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,,
https://masothue.com/1602146752-cong-ty-tnhh-t-t-land-binh-khanh,1602146752,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,,
https://masothue.com/1602146777-cong-ty-tnhh-t-t-land-long-xuyen,1602146777,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,,
https://masothue.com/1801702690-cong-ty-tnhh-nong-nghiep-ung-dung-cong-nghe-cao-t-t-can-tho,1801702690,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,,
https://masothue.com/2001354326-cong-ty-tnhh-t-t-land-ca-mau,2001354326,Khác,,,,
https://masothue.com/3002226551-cong-ty-tnhh-t-t-land-thach-binh,3002226551,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,,
https://masothue.com/3200713067-cong-ty-tnhh-t-t-land-gio-hai,3200713067,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,,
https://masothue.com/4001232265-cong-ty-tnhh-nong-nghiep-cong-nghe-cao-t-t-dong-quang-nam,4001232265,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,,
https://masothue.com/4001232297-cong-ty-tnhh-nong-nghiep-cong-nghe-cao-t-t-dien-hoa-quang-nam,4001232297,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,,
