Mã số thuế SOE1,Mã số thuế SOE2,Doanh thu,Ngành nghề kinh doanh chính,Địa chỉ,Thành Phố,Tên SOE2,Tên SOE1
0100102608,5700101210,3918374361032,Khai khoáng khác chưa được phân vào đâu,Khu công nghiệp Cái Lân - Phường Bãi Cháy - Thành phố Hạ Long - Quảng Ninh,Quảng Ninh,Công ty TNHH sản xuất bột mỳ VIMAFLOUR,Tổng công ty lương thực miền Bắc
0100110006,0311158663,,,,,,Tổng Công ty VTC
1800278630,0103811666,81341333809,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu,71B phố Hàng Trống - Phường Hàng Trống - Quận Hoàn Kiếm - Hà Nội,Hà Nội,Công ty TNHH một thành viên quản lý nợ và khai thác tài sản- NH thương mại cổ phần Sài Gòn- Hà Nội,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội
1800278630,0107779290,,Hoạt động trung gian tiền tệ khác,"Tầng 1, Tòa nhà 18T2, Khu đô thị Trung Hòa - Nhân Chính, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội",Hà Nội,Công Ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Ngân Hàng Thương Mại Cổ Phần Sài Gòn - Hà Nội,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội
1700169765,0304767745,44160015564,Hoạt động trung gian tiền tệ khác,"Tầng 7, số 444, đường Hoàng Hoa Thám - Phường Bưởi - Quận Tây Hồ - Hà Nội",Hà Nội,Công Ty TNHH Quản Lý Nợ Và Khai Thác Tài Sản Ngân Hàng Quốc Dân,Ngân hàng TMCP Quốc dân
1700169765,4201763383,0,"Bán buôn thiết bị và linh kiện điện tử, viễn thông","359 Lê Hồng Phong, Phường Phước Hòa, Thành phố Nha Trang, Tỉnh Khánh Hòa",Khánh Hòa,Công Ty TNHH Thương Mại Dịch Vụ Viễn Thông Minh Vi,Ngân hàng TMCP Quốc dân
0100233223,0801354868,0,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê","Số 14 Chương Dương, Phường Trần Phú, Thành phố Hải Dương, Tỉnh Hải Dương",Hải Dương,Công Ty TNHH T&t Land Hải Dương,Công ty Cổ phần Tập đoàn T&T
0100233223,1602146752,0," 1.  Kinh doanh bât động sản, quyền sử dụng đât thuộc chủ sở hữu, \ chủ sử dụng hoặc đi thuê Chi tiết: Kinh doanh bất động sản 6810(Chính)",Số 01-C1  Đường Lê Lai  Khóm Bình Long 1,Tỉnh An Giang,Công Ty TNHH T&t Land Bình Khánh,Công ty Cổ phần Tập đoàn T&T
0100233223,1602146777,0," 1.  Kinh doanh bât động sản, quyền sử dụng đât thuộc chủ sở hữu, \ chủ sử dụng hoặc đi thuê Chi tiết: Kinh doanh bất động sản 6810(Chính)",Số 01-C1  Đường Lê Lai  Khóm Bình Long 1,Tỉnh An Giang,Công Ty TNHH T&t Land Long Xuyên,Công ty Cổ phần Tập đoàn T&T
0100233223,1801702690,0,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",Ấp Thới Thuận, Cần Thơ,CÔNG TY TNHH NÔNG NGHIỆP ỨNG DỤNG CÔNG NGHỆ CAO T&T CẦN THƠ,Công ty Cổ phần Tập đoàn T&T
